New_ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary,left_company
48,0.48,0.85,3.0,279.0,4.0,0.0,0.0,IT,low,1
49,0.58,0.55,4.0,202.0,3.0,0.0,0.0,IT,medium,1
50,0.58,0.84,5.0,228.0,3.0,0.0,0.0,product_mng,medium,1
51,0.73,0.69,4.0,171.0,3.0,0.0,0.0,product_mng,medium,1
52,0.68,0.54,4.0,153.0,3.0,0.0,0.0,product_mng,medium,1
53,0.41,0.68,3.0,165.0,3.0,1.0,0.0,product_mng,medium,1
54,0.85,0.6,3.0,182.0,3.0,0.0,0.0,IT,medium,1
55,0.54,0.7,5.0,239.0,5.0,0.0,0.0,RandD,medium,1
56,0.81,0.61,5.0,231.0,2.0,0.0,0.0,RandD,medium,1
57,0.7,0.52,4.0,255.0,3.0,0.0,0.0,RandD,medium,1
58,0.63,0.66,4.0,237.0,2.0,1.0,0.0,RandD,medium,1
59,0.68,0.54,3.0,251.0,2.0,0.0,0.0,RandD,medium,1
60,0.7,0.53,4.0,178.0,2.0,0.0,0.0,marketing,medium,1
61,0.82,0.65,4.0,148.0,3.0,0.0,0.0,sales,high,1
62,0.72,0.94,4.0,240.0,4.0,0.0,0.0,accounting,low,1
63,0.77,0.78,3.0,269.0,3.0,0.0,0.0,support,medium,1
64,0.86,0.91,4.0,147.0,3.0,0.0,0.0,technical,medium,1
65,0.15,0.97,3.0,198.0,5.0,0.0,0.0,management,medium,1
66,0.81,0.99,5.0,143.0,3.0,0.0,0.0,marketing,medium,1
67,0.93,0.98,3.0,238.0,2.0,0.0,0.0,marketing,low,1
68,0.62,0.74,4.0,213.0,4.0,0.0,0.0,marketing,low,1
69,0.53,0.81,3.0,226.0,3.0,1.0,0.0,sales,low,1
70,0.86,0.99,3.0,169.0,2.0,1.0,0.0,sales,low,1
71,0.92,0.65,4.0,238.0,2.0,0.0,0.0,sales,low,1
72,0.97,0.83,4.0,202.0,3.0,0.0,0.0,sales,low,1
73,0.39,0.78,2.0,205.0,6.0,1.0,0.0,sales,low,1
74,0.45,0.66,3.0,111.0,4.0,0.0,0.0,sales,low,1
75,0.41,0.47,4.0,104.0,3.0,0.0,0.0,sales,low,1
76,0.51,0.69,3.0,212.0,3.0,0.0,0.0,sales,low,1
77,0.74,0.62,4.0,236.0,4.0,0.0,0.0,sales,low,1
78,0.69,0.57,5.0,245.0,2.0,1.0,0.0,sales,low,1
79,0.84,0.64,4.0,267.0,4.0,0.0,0.0,sales,low,1
80,0.69,0.66,5.0,106.0,5.0,0.0,0.0,sales,low,1
81,0.93,0.53,5.0,198.0,3.0,0.0,0.0,sales,low,1
82,0.33,0.45,6.0,239.0,3.0,0.0,0.0,sales,low,1
83,0.25,0.65,5.0,220.0,3.0,0.0,0.0,sales,low,1
84,0.63,0.59,5.0,224.0,3.0,0.0,0.0,sales,low,1
85,0.81,0.62,3.0,100.0,3.0,0.0,0.0,sales,low,1
86,0.12,0.87,4.0,244.0,5.0,0.0,0.0,sales,low,1
87,0.52,0.66,4.0,139.0,3.0,0.0,0.0,sales,low,1
88,0.57,0.51,2.0,152.0,2.0,0.0,0.0,accounting,medium,1
89,0.84,0.58,4.0,208.0,3.0,0.0,0.0,accounting,medium,1
90,0.6,0.95,5.0,205.0,3.0,0.0,0.0,accounting,medium,1
91,0.73,0.44,2.0,194.0,6.0,0.0,0.0,hr,medium,1
92,0.2,0.58,3.0,209.0,5.0,0.0,0.0,hr,medium,1
93,0.58,0.9,3.0,212.0,3.0,0.0,0.0,hr,medium,1
94,0.48,0.56,2.0,151.0,3.0,0.0,0.0,hr,medium,1
95,0.54,0.67,4.0,282.0,6.0,0.0,0.0,technical,medium,1
96,0.86,1.0,4.0,256.0,3.0,0.0,0.0,technical,medium,1
97,0.94,0.83,2.0,185.0,3.0,1.0,0.0,technical,medium,1
98,0.76,0.74,5.0,132.0,3.0,0.0,0.0,technical,medium,1
99,0.61,0.95,5.0,233.0,3.0,0.0,0.0,technical,medium,1
100,0.56,0.94,4.0,215.0,2.0,0.0,0.0,technical,high,1
101,1.0,0.74,3.0,220.0,4.0,0.0,0.0,technical,low,1
102,0.15,0.53,6.0,222.0,3.0,0.0,0.0,technical,medium,1
103,0.19,0.58,5.0,182.0,2.0,0.0,0.0,technical,medium,1
104,0.17,0.73,5.0,258.0,4.0,0.0,0.0,technical,medium,1
105,0.71,0.57,3.0,209.0,2.0,0.0,0.0,technical,medium,1
106,0.86,0.79,3.0,242.0,2.0,0.0,0.0,support,low,1
107,0.59,0.88,4.0,155.0,3.0,1.0,0.0,support,low,1
108,0.74,0.76,5.0,104.0,4.0,0.0,0.0,support,low,1
109,0.98,0.92,4.0,201.0,3.0,1.0,0.0,support,low,1
110,0.93,0.75,5.0,143.0,3.0,0.0,0.0,support,low,1
111,1.0,0.92,5.0,161.0,3.0,1.0,0.0,support,low,1
112,0.59,0.81,4.0,200.0,2.0,0.0,0.0,support,low,1
113,0.98,0.55,4.0,255.0,2.0,0.0,0.0,support,low,1
114,0.35,0.5,5.0,227.0,2.0,0.0,0.0,support,low,1
115,0.42,0.96,3.0,270.0,6.0,0.0,0.0,support,low,1
116,0.61,0.85,5.0,230.0,3.0,0.0,0.0,support,low,1
117,0.78,0.72,5.0,270.0,3.0,1.0,0.0,technical,low,1
118,0.93,0.52,4.0,200.0,3.0,0.0,0.0,technical,low,1
119,0.5,0.95,5.0,207.0,3.0,0.0,0.0,technical,low,1
120,0.67,0.51,5.0,182.0,3.0,0.0,0.0,management,low,1
121,0.75,0.85,4.0,234.0,3.0,0.0,0.0,IT,low,1
122,0.79,0.51,4.0,237.0,2.0,0.0,0.0,IT,low,1
123,0.84,0.89,4.0,187.0,2.0,1.0,0.0,IT,low,1
124,0.72,0.5,3.0,257.0,6.0,0.0,0.0,IT,low,1
125,0.57,0.48,2.0,194.0,2.0,0.0,0.0,IT,low,1
126,0.73,0.52,4.0,162.0,3.0,0.0,0.0,product_mng,low,1
127,0.74,0.58,4.0,148.0,2.0,0.0,0.0,product_mng,medium,1
128,0.52,0.83,4.0,210.0,2.0,0.0,0.0,product_mng,medium,1
129,0.56,0.76,3.0,213.0,2.0,1.0,0.0,product_mng,medium,1
130,0.76,0.68,4.0,189.0,2.0,1.0,0.0,IT,medium,1
131,0.82,0.93,4.0,185.0,2.0,0.0,0.0,RandD,medium,1
132,0.76,0.83,3.0,186.0,2.0,1.0,0.0,RandD,medium,1
133,0.62,0.59,3.0,128.0,3.0,0.0,0.0,RandD,medium,1
134,0.48,0.8,4.0,268.0,3.0,0.0,0.0,RandD,medium,1
135,0.64,0.77,3.0,213.0,3.0,1.0,0.0,RandD,medium,1
136,0.74,0.82,4.0,142.0,2.0,0.0,0.0,marketing,medium,1
137,0.52,0.43,2.0,199.0,2.0,0.0,0.0,sales,medium,1
138,0.67,0.5,4.0,157.0,2.0,0.0,0.0,accounting,medium,1
139,0.71,0.76,5.0,172.0,2.0,1.0,0.0,support,high,1
140,0.72,0.63,3.0,176.0,3.0,1.0,0.0,technical,low,1
141,0.33,0.58,2.0,183.0,2.0,0.0,0.0,management,medium,1
142,0.91,0.56,4.0,270.0,2.0,0.0,0.0,marketing,medium,1
143,0.88,0.68,5.0,157.0,4.0,1.0,0.0,marketing,medium,1
144,0.96,0.6,4.0,185.0,3.0,0.0,0.0,marketing,medium,1
145,0.97,0.68,3.0,167.0,3.0,0.0,0.0,sales,low,1
146,0.27,0.59,5.0,226.0,5.0,0.0,0.0,sales,low,1
147,0.65,0.64,3.0,223.0,4.0,0.0,0.0,sales,low,1
148,0.68,0.73,3.0,257.0,3.0,0.0,0.0,sales,low,1
149,0.68,0.46,4.0,143.0,3.0,0.0,0.0,sales,low,1
150,0.69,0.74,3.0,215.0,2.0,0.0,0.0,sales,low,1
151,0.79,0.99,3.0,194.0,4.0,0.0,0.0,sales,low,1
152,0.74,0.92,5.0,193.0,3.0,0.0,0.0,sales,low,1
153,0.8,0.83,3.0,163.0,3.0,0.0,0.0,sales,low,1
154,0.38,0.94,5.0,252.0,5.0,0.0,0.0,sales,low,1
155,0.26,0.83,3.0,168.0,3.0,0.0,0.0,sales,low,1
156,0.81,0.86,3.0,231.0,3.0,0.0,0.0,sales,low,1
157,0.67,0.54,2.0,141.0,2.0,0.0,0.0,sales,low,1
158,0.55,0.81,4.0,260.0,2.0,0.0,0.0,sales,low,1
159,0.87,0.71,3.0,132.0,2.0,0.0,0.0,sales,low,1
160,0.46,0.69,2.0,159.0,2.0,0.0,0.0,sales,low,1
161,0.63,0.57,4.0,177.0,3.0,1.0,0.0,sales,low,1
162,0.54,0.96,4.0,248.0,3.0,0.0,0.0,sales,low,1
163,1.0,0.49,3.0,185.0,2.0,0.0,0.0,sales,low,1
164,0.97,0.66,4.0,149.0,2.0,0.0,0.0,accounting,low,1
165,0.9,0.92,3.0,152.0,3.0,0.0,0.0,accounting,low,1
166,0.75,0.7,3.0,129.0,3.0,0.0,0.0,accounting,medium,1
167,0.92,0.84,4.0,208.0,2.0,0.0,0.0,hr,medium,1
168,0.8,0.94,4.0,136.0,2.0,0.0,0.0,hr,medium,1
169,0.57,0.81,3.0,142.0,2.0,0.0,0.0,hr,medium,1
170,0.81,0.94,3.0,225.0,4.0,0.0,0.0,hr,medium,1
171,0.64,0.6,3.0,143.0,3.0,0.0,0.0,technical,medium,1
172,0.71,0.54,4.0,215.0,3.0,0.0,0.0,technical,medium,1
173,0.35,0.58,3.0,229.0,6.0,1.0,0.0,technical,medium,1
174,0.88,0.81,5.0,193.0,5.0,0.0,0.0,technical,medium,1
175,0.13,0.59,5.0,160.0,5.0,0.0,0.0,technical,medium,1
176,0.82,0.73,4.0,195.0,5.0,1.0,0.0,technical,medium,1
177,0.17,0.92,4.0,189.0,2.0,0.0,0.0,technical,medium,1
178,0.21,0.82,4.0,207.0,5.0,0.0,0.0,technical,high,1
179,0.89,0.47,4.0,108.0,3.0,0.0,0.0,technical,low,1
180,0.2,0.72,6.0,224.0,4.0,0.0,0.0,technical,medium,1
181,0.99,0.81,5.0,180.0,3.0,1.0,0.0,technical,medium,1
182,0.26,0.85,6.0,152.0,4.0,0.0,0.0,support,medium,1
183,0.22,0.53,4.0,244.0,2.0,0.0,0.0,support,medium,1
184,0.79,0.84,3.0,176.0,3.0,0.0,0.0,support,low,1
185,0.73,0.79,4.0,145.0,2.0,1.0,0.0,support,low,1
186,0.83,0.54,3.0,149.0,3.0,0.0,0.0,support,low,1
187,0.42,0.54,3.0,122.0,4.0,0.0,0.0,support,low,1
188,0.18,0.8,2.0,110.0,5.0,0.0,0.0,support,low,1
189,0.92,0.91,4.0,222.0,2.0,0.0,0.0,support,low,1
190,0.87,0.52,3.0,237.0,3.0,0.0,0.0,support,low,1
191,0.72,0.65,4.0,224.0,3.0,0.0,0.0,support,low,1
192,0.64,0.58,5.0,115.0,5.0,0.0,0.0,support,low,1
193,1.0,0.66,4.0,180.0,3.0,0.0,0.0,technical,low,1
194,0.83,0.65,4.0,162.0,3.0,0.0,0.0,technical,low,1
195,0.98,0.58,4.0,136.0,3.0,0.0,0.0,technical,low,1
196,0.7,0.87,3.0,260.0,2.0,0.0,0.0,management,low,1
197,0.9,0.79,4.0,150.0,2.0,0.0,0.0,IT,low,1
198,0.55,0.99,4.0,248.0,3.0,0.0,0.0,IT,low,1
199,0.78,0.84,3.0,233.0,3.0,1.0,0.0,IT,low,1
200,0.89,0.53,5.0,272.0,3.0,0.0,0.0,IT,low,1
201,0.17,0.59,3.0,197.0,5.0,0.0,0.0,IT,low,1
202,0.14,0.64,5.0,164.0,5.0,0.0,0.0,product_mng,low,1
203,0.85,0.57,4.0,216.0,2.0,0.0,0.0,product_mng,low,1
204,0.84,0.79,4.0,266.0,3.0,1.0,0.0,product_mng,low,1
205,0.7,0.69,3.0,102.0,4.0,1.0,0.0,product_mng,medium,1
206,0.16,0.98,5.0,284.0,5.0,0.0,0.0,IT,medium,1
207,0.51,0.69,3.0,145.0,2.0,1.0,0.0,RandD,medium,1
208,0.6,0.89,3.0,167.0,4.0,0.0,0.0,RandD,medium,1
209,0.5,0.63,3.0,172.0,2.0,0.0,0.0,RandD,medium,1
210,0.43,0.39,5.0,198.0,5.0,0.0,0.0,RandD,medium,1
211,0.5,0.7,4.0,201.0,4.0,0.0,0.0,RandD,medium,1
212,0.91,0.89,4.0,197.0,4.0,0.0,0.0,marketing,medium,1
213,0.65,0.93,4.0,270.0,2.0,0.0,0.0,sales,medium,1
214,0.59,0.52,2.0,149.0,3.0,0.0,0.0,accounting,medium,1
215,0.89,0.56,3.0,256.0,3.0,0.0,0.0,support,medium,1
216,0.97,0.6,3.0,162.0,3.0,0.0,0.0,technical,medium,1
217,0.56,0.97,5.0,163.0,2.0,0.0,0.0,management,high,1
218,0.76,0.93,3.0,266.0,3.0,1.0,0.0,marketing,low,1
219,0.28,0.55,4.0,208.0,4.0,0.0,0.0,marketing,medium,1
220,0.75,0.51,4.0,138.0,4.0,0.0,0.0,marketing,medium,1
221,0.78,0.81,4.0,232.0,3.0,0.0,0.0,sales,medium,1
222,0.26,0.63,6.0,100.0,4.0,0.0,0.0,sales,medium,1
223,0.53,0.72,2.0,172.0,5.0,0.0,0.0,sales,low,1
224,0.25,0.41,3.0,133.0,6.0,1.0,0.0,sales,low,1
225,0.82,0.51,3.0,234.0,3.0,0.0,0.0,sales,low,1
226,0.71,0.57,2.0,183.0,4.0,0.0,0.0,sales,low,1
227,0.61,0.95,4.0,174.0,4.0,0.0,0.0,sales,low,1
228,0.89,0.68,3.0,175.0,2.0,0.0,0.0,sales,low,1
229,0.57,0.78,3.0,109.0,3.0,1.0,0.0,sales,low,1
230,0.93,0.8,4.0,248.0,3.0,0.0,0.0,sales,low,1
231,0.61,0.84,5.0,104.0,4.0,0.0,0.0,sales,low,1
232,0.56,0.62,3.0,154.0,2.0,0.0,0.0,sales,low,1
233,0.7,0.89,6.0,214.0,2.0,0.0,0.0,sales,low,1
234,0.9,0.64,4.0,209.0,4.0,0.0,0.0,sales,low,1
235,0.15,0.74,6.0,212.0,2.0,0.0,0.0,sales,low,1
236,0.39,0.36,3.0,168.0,3.0,1.0,0.0,sales,low,1
237,0.74,0.72,4.0,176.0,3.0,0.0,0.0,sales,low,1
238,0.7,0.61,4.0,163.0,4.0,1.0,0.0,sales,low,1
239,0.72,0.93,4.0,148.0,2.0,0.0,0.0,sales,low,1
240,0.61,0.97,3.0,137.0,3.0,0.0,0.0,accounting,low,1
241,0.96,1.0,5.0,162.0,3.0,0.0,0.0,accounting,low,1
242,0.7,0.59,4.0,216.0,3.0,0.0,0.0,accounting,low,1
243,0.92,0.49,3.0,240.0,2.0,0.0,0.0,hr,low,1
244,0.72,0.56,4.0,176.0,2.0,0.0,0.0,hr,medium,1
245,0.53,0.75,6.0,192.0,6.0,0.0,0.0,hr,medium,1
246,0.67,0.85,3.0,160.0,4.0,0.0,0.0,hr,medium,1
247,0.78,0.8,4.0,194.0,2.0,1.0,0.0,technical,medium,1
248,0.53,0.75,4.0,239.0,2.0,1.0,0.0,technical,medium,1
249,0.9,0.48,4.0,204.0,3.0,0.0,0.0,technical,medium,1
250,0.16,0.9,5.0,258.0,3.0,0.0,0.0,technical,medium,1
251,0.62,0.38,3.0,257.0,3.0,0.0,0.0,technical,medium,1
252,0.62,0.98,4.0,137.0,3.0,0.0,0.0,technical,medium,1
253,0.22,0.52,6.0,175.0,4.0,0.0,0.0,technical,medium,1
254,0.91,0.82,3.0,183.0,3.0,0.0,0.0,technical,medium,1
255,0.87,0.74,4.0,190.0,4.0,0.0,0.0,technical,medium,1
256,0.95,0.69,3.0,225.0,2.0,0.0,0.0,technical,high,1
257,0.99,0.75,3.0,215.0,3.0,0.0,0.0,technical,low,1
258,0.99,0.57,3.0,176.0,4.0,1.0,0.0,support,medium,1
259,0.77,0.99,4.0,153.0,3.0,1.0,0.0,support,medium,1
260,0.75,0.68,3.0,150.0,2.0,1.0,0.0,support,medium,1
261,0.83,0.54,4.0,259.0,5.0,0.0,0.0,support,medium,1
262,0.61,0.39,3.0,99.0,2.0,0.0,0.0,support,low,1
263,0.91,0.97,3.0,167.0,2.0,0.0,0.0,support,low,1
264,0.47,0.64,3.0,192.0,3.0,0.0,0.0,support,low,1
265,0.77,0.61,5.0,146.0,3.0,0.0,0.0,support,low,1
266,0.55,0.51,3.0,190.0,3.0,0.0,0.0,support,low,1
267,0.32,0.48,5.0,246.0,3.0,0.0,0.0,support,low,1
268,0.96,0.67,6.0,190.0,3.0,0.0,0.0,support,low,1
269,0.72,0.79,5.0,260.0,2.0,0.0,0.0,technical,low,1
270,0.8,0.9,4.0,136.0,3.0,0.0,0.0,technical,low,1
271,0.61,0.55,4.0,231.0,3.0,0.0,0.0,technical,low,1
272,0.97,0.88,3.0,204.0,2.0,0.0,0.0,management,low,1
273,0.63,0.93,4.0,201.0,3.0,0.0,0.0,IT,low,1
274,0.92,0.92,3.0,159.0,3.0,0.0,0.0,IT,low,1
275,0.94,0.74,5.0,171.0,3.0,0.0,0.0,IT,low,1
276,0.79,0.72,6.0,240.0,4.0,0.0,0.0,IT,low,1
277,0.75,0.73,2.0,152.0,4.0,0.0,0.0,IT,low,1
278,0.78,0.99,3.0,151.0,3.0,1.0,0.0,product_mng,low,1
279,0.96,0.45,6.0,232.0,2.0,1.0,0.0,product_mng,low,1
280,0.65,0.68,4.0,128.0,5.0,0.0,0.0,product_mng,low,1
281,0.18,0.94,3.0,187.0,6.0,1.0,0.0,product_mng,low,1
282,0.94,0.51,3.0,160.0,2.0,0.0,0.0,IT,low,1
283,0.84,0.79,4.0,259.0,3.0,0.0,0.0,RandD,medium,1
284,0.67,0.54,2.0,136.0,2.0,0.0,0.0,RandD,medium,1
285,0.71,0.5,4.0,253.0,3.0,0.0,0.0,RandD,medium,1
286,0.56,0.64,3.0,260.0,3.0,0.0,0.0,RandD,medium,1
287,0.29,0.56,5.0,231.0,6.0,0.0,0.0,RandD,medium,1
288,0.47,0.9,3.0,101.0,2.0,1.0,0.0,marketing,medium,1
289,0.4,0.69,2.0,174.0,3.0,0.0,0.0,sales,medium,1
290,0.81,0.82,4.0,167.0,2.0,0.0,0.0,accounting,medium,1
291,0.96,0.99,3.0,148.0,3.0,0.0,0.0,support,medium,1
292,0.99,0.75,6.0,139.0,5.0,1.0,0.0,technical,medium,1
293,0.75,0.77,4.0,136.0,3.0,0.0,0.0,management,medium,1
294,0.75,0.74,4.0,153.0,2.0,0.0,0.0,marketing,medium,1
295,1.0,0.86,4.0,161.0,2.0,0.0,0.0,marketing,high,1
296,0.52,0.53,2.0,163.0,2.0,0.0,0.0,marketing,low,1
297,0.98,0.74,3.0,164.0,3.0,0.0,0.0,sales,medium,1
298,0.6,0.64,2.0,137.0,5.0,0.0,0.0,sales,medium,1
299,0.38,0.44,3.0,137.0,3.0,0.0,0.0,sales,medium,1
300,0.51,0.41,6.0,106.0,5.0,0.0,0.0,sales,medium,1
301,0.91,0.61,2.0,272.0,2.0,0.0,0.0,sales,low,1
302,0.56,0.62,5.0,238.0,3.0,0.0,0.0,sales,low,1
303,0.58,0.69,4.0,223.0,4.0,0.0,0.0,sales,low,1
304,0.51,0.53,3.0,201.0,2.0,0.0,0.0,sales,low,1
305,0.91,0.55,6.0,97.0,4.0,0.0,0.0,sales,low,1
306,0.8,0.98,2.0,232.0,6.0,1.0,0.0,sales,low,1
307,0.55,0.83,4.0,199.0,3.0,0.0,0.0,sales,low,1
308,0.62,0.53,3.0,141.0,3.0,0.0,0.0,sales,low,1
309,0.62,0.6,3.0,171.0,2.0,0.0,0.0,sales,low,1
310,0.87,0.58,4.0,212.0,3.0,0.0,0.0,sales,low,1
311,0.65,0.5,5.0,270.0,2.0,0.0,0.0,sales,low,1
312,0.51,0.64,3.0,267.0,2.0,0.0,0.0,sales,low,1
313,0.98,0.77,3.0,134.0,2.0,1.0,0.0,sales,low,1
314,0.13,0.43,4.0,165.0,5.0,0.0,0.0,sales,low,1
315,0.78,0.76,5.0,168.0,4.0,1.0,0.0,sales,low,1
316,0.6,0.98,3.0,262.0,2.0,0.0,0.0,accounting,low,1
317,0.68,0.69,3.0,185.0,2.0,0.0,0.0,accounting,low,1
318,0.55,0.84,3.0,237.0,3.0,0.0,0.0,accounting,low,1
319,0.99,0.79,4.0,192.0,3.0,0.0,0.0,hr,low,1
320,0.92,0.68,5.0,236.0,2.0,0.0,0.0,hr,low,1
321,1.0,0.65,4.0,202.0,4.0,1.0,0.0,hr,low,1
322,0.77,0.93,4.0,171.0,2.0,0.0,0.0,hr,medium,1
323,0.86,0.7,5.0,160.0,3.0,0.0,0.0,technical,medium,1
324,0.89,0.84,2.0,252.0,3.0,0.0,0.0,technical,medium,1
325,0.58,0.55,5.0,206.0,3.0,0.0,0.0,technical,medium,1
326,0.56,0.66,3.0,212.0,2.0,0.0,0.0,technical,medium,1
327,0.38,0.64,3.0,111.0,3.0,0.0,0.0,technical,medium,1
328,0.62,0.64,3.0,240.0,2.0,0.0,0.0,technical,medium,1
329,0.66,0.77,2.0,171.0,2.0,0.0,0.0,technical,medium,1
330,0.3,0.44,3.0,129.0,2.0,0.0,0.0,technical,medium,1
331,0.82,0.83,3.0,271.0,2.0,0.0,0.0,technical,medium,1
332,0.96,0.68,4.0,162.0,2.0,0.0,0.0,technical,medium,1
333,0.66,0.95,3.0,191.0,3.0,0.0,0.0,technical,medium,1
334,0.79,0.5,5.0,176.0,3.0,0.0,0.0,support,high,1
335,0.97,0.77,3.0,182.0,2.0,1.0,0.0,support,low,1
336,0.59,0.65,3.0,226.0,3.0,0.0,0.0,support,medium,1
337,0.57,0.48,4.0,161.0,3.0,0.0,0.0,support,medium,1
338,0.64,0.53,4.0,163.0,3.0,0.0,0.0,support,medium,1
339,0.14,0.51,5.0,173.0,4.0,0.0,0.0,support,medium,1
340,0.48,0.55,3.0,228.0,2.0,0.0,0.0,support,low,1
341,0.78,1.0,3.0,139.0,3.0,0.0,0.0,support,low,1
342,0.96,0.62,5.0,128.0,5.0,0.0,0.0,support,low,1
343,0.82,0.97,3.0,115.0,2.0,1.0,0.0,support,low,1
344,0.94,0.9,5.0,191.0,4.0,0.0,0.0,support,low,1
345,0.95,0.66,4.0,183.0,3.0,0.0,0.0,technical,low,1
346,0.59,0.43,3.0,173.0,3.0,0.0,0.0,technical,low,1
347,0.69,0.89,4.0,174.0,2.0,0.0,0.0,technical,low,1
348,0.74,0.72,3.0,213.0,3.0,0.0,0.0,management,low,1
349,0.67,0.67,4.0,192.0,4.0,0.0,0.0,IT,low,1
350,0.83,0.52,3.0,167.0,2.0,1.0,0.0,IT,low,1
351,0.81,0.85,3.0,263.0,3.0,1.0,0.0,IT,low,1
352,0.54,0.73,2.0,100.0,3.0,0.0,0.0,IT,low,1
353,0.89,0.83,3.0,164.0,3.0,0.0,0.0,IT,low,1
354,0.79,0.74,5.0,172.0,2.0,0.0,0.0,product_mng,low,1
355,0.46,0.58,4.0,171.0,3.0,0.0,0.0,product_mng,low,1
356,0.99,0.93,4.0,236.0,3.0,0.0,0.0,product_mng,low,1
357,0.75,0.9,5.0,186.0,4.0,0.0,0.0,product_mng,low,1
358,0.93,0.82,4.0,175.0,3.0,0.0,0.0,IT,low,1
359,0.65,0.6,5.0,227.0,3.0,0.0,0.0,RandD,low,1
360,0.19,0.63,4.0,142.0,6.0,0.0,0.0,RandD,low,1
361,0.48,0.61,2.0,121.0,2.0,0.0,0.0,RandD,medium,1
362,0.95,0.64,5.0,234.0,3.0,0.0,0.0,RandD,medium,1
363,0.92,0.77,4.0,185.0,3.0,0.0,0.0,RandD,medium,1
364,0.84,0.54,4.0,160.0,3.0,0.0,0.0,marketing,medium,1
365,0.37,0.63,4.0,153.0,3.0,1.0,0.0,sales,medium,1
366,0.22,0.74,3.0,199.0,6.0,0.0,0.0,accounting,medium,1
367,0.64,0.54,3.0,166.0,2.0,0.0,0.0,support,medium,1
368,0.72,0.88,2.0,247.0,3.0,0.0,0.0,technical,medium,1
